"comments","human label","NoHateBrazil label","PRS(%)","Model Score","Match","diff_scores"
"Que orgulho e alegria ver essas conversas acontecendo ❤️😢 emocionado pq é minha sister @aniellefranco q ta nessa frente","no-offensive","no-offensive",99,100,100,0
"Não me canso de me alegrar em ver de novo, gente de verdade pensando o nosso futuro… Uffa! Fiz o L pra isso! ❤️❤️","no-offensive","no-offensive",99,98,100,2
"Tudo que é bom e pra ser feito, então traga projeto novos novidade a sociedade Brasileira precisa de nova ideias pra melhorar a sociedade com um todo 👏👏👏👏","no-offensive","no-offensive",100,99,100,1
"❤️Apoiei LULA e fiz uma obra de arte dele e JANJA com LÁPIS GRAFITE e postei, Por isso sou xingado e perdi seguidores, mas
quem puder dar uma força seguindo meu trabalho para que eu continue firme na arte, agradeço!
Apoie as boas iniciativas 👏👏👏❤️❤️❤️","no-offensive","no-offensive",10,100,100,0
"Que notícia maravilhosa. Merecemos esse resgate das nossas origens. Obrigada presidente.","no-offensive","no-offensive",99,100,100,0
"No Parque do Ibirapuera em SP tem um belo acervo de obras de autores africanos e afro-brasileiros, o Museu Afro Brasil Emanuel Araújo. Vale muito a visita. O museu é lindo.","no-offensive","no-offensive",99,100,100,0
"É so orgulho da nossa Primeira Dama e nossa Ministra da Igualdade Racial! Parabéns e que Deus as abencõe!","no-offensive","no-offensive",99,100,100,0
"Show 👊🏿👊🏿vidas negras importam.","no-offensive","no-offensive",99,98,100,2
"Venham visitar o museu afro a fica dentro foi parque em SP. É lindo! É marcante. É impactante.","no-offensive","no-offensive",99,100,100,0
"Isso! Orgulho do Brasil de novo! Fiz o L pra isso","no-offensive","no-offensive",99,100,100,0
"Muito bacana ! Parabéns, tenho acompanhado tudo que vocês vem fazendo ! De coração, estou vibrando para que tudos que vocês empreendam gere muitos frutos para nossa história e para o nosso povo !","no-offensive","no-offensive",99,100,100,0
"Nossas histórias precisam e devem ser contadas. Muito importante ver duas mulheres gigantes, trazendo isso pro nosso Brasil! Boraaaaaa","no-offensive","no-offensive",99,100,100,0
"Que perfeitas! Tão feliz de ver o Brasil voltar a ser respeitado! 👏❤️","no-offensive","no-offensive",99,100,100,0
"Recuperar a memória do nosso povo!","no-offensive","offensive",52,58,0,-58
"Tão bom ouvir isso! Construir e materializar memória coletiva do que não pode nem nunca deve ser esquecido!","no-offensive","no-offensive",99,100,100,0
"Duas mulheres fortes, corajosas, determinadas, e humanas.😍😍😍😍","no-offensive","no-offensive",100,99,100,1
"Isso é tao incrível!😍 A alegria toma posse do coração.❤️😊","no-offensive","no-offensive",99,100,100,0
