id,comment,offensive_label,link_post,rationales_annotator1,rationales_annotator2
26,"Joga uma carteira de trabalho que correm todos, na verdade não gostam de trabalhar só sabem roubar o brasil",1,https://www.instagram.com/p/B2uThqdH9xI/,não gostam de trabalhar só sabem roubar o brasil,não gostam de trabalhar; só sabem roubar o brasil;
27,Velha idiota.,1,https://www.instagram.com/p/B2uThqdH9xI/,Velha idiota.,Velha idiota
28,Outra bandida ...,1,https://www.instagram.com/p/B2uThqdH9xI/,bandida,Outra bandida
29,BACHELETA DA TRETA E MUTRETA CHILENA..CANALHA SAPATONA.. BICHELETA..,1,https://www.instagram.com/p/B2uThqdH9xI/,BACHELETA DA TRETA E MUTRETA; CANALHA SAPATONA; BICHELETA,TRETA E MUTRETA; CANALHA SAPATONA;
30,Ridícula nojenta,1,https://www.instagram.com/p/B2uThqdH9xI/,Ridícula nojenta,Ridícula nojenta
31,"hipocrisia, mal do seculo: falta de caráter geral. Ser humano não deu certo.",1,https://www.instagram.com/p/B2uThqdH9xI/,hipocrisia; falta de caráter; Ser humano não deu certo.,"hipocrisia, mal do seculo; falta de caráter geral; "
32,"Isso é uma realidade da imbecilidade humana, não tem moral prá nada...",1,https://www.instagram.com/p/B2uThqdH9xI/,imbecilidade; não tem moral prá nada,imbecilidade humana; não tem moral prá nada
33,E eu tenho pena de vc sua ridícula.,1,https://www.instagram.com/p/B2uThqdH9xI/,tenho pena de vc sua ridícula.,E eu tenho pena de vc sua ridícula.
34,"Eu tenho pena do Brasil, pois com o PT no poder todos os corruPTos do mundo tiraram vantagem das nossas riquezas. Inclusive essa hipócrita amiga da Dilma.🤔",1,https://www.instagram.com/p/B2uThqdH9xI/,com o PT no poder todos os corruPTos do mundo tiraram vantagem das nossas riquezas; hipócrita,Eu tenho pena do Brasil; essa hipócrita amiga da Dilma; tiraram vantagem das nossas riquezas
35,Óleo de peroba pra lustrar a cara de pau!,1,https://www.instagram.com/p/B2uThqdH9xI/,Óleo de peroba pra lustrar a cara de pau,Óleo de peroba pra lustrar a cara de pau!
36,"Mentir e roubar. Tudo que os comunistas sabem fazer. Trabalhar e produzir alguma coisa, jamais.",1,https://www.instagram.com/p/B2uThqdH9xI/,"Mentir e roubar; os comunistas sabem fazer; Trabalhar e produzir alguma coisa, jamais.","mentir e roubar; trabalhar e produzir alguma coisa, jamais"
37,"Velha barriguda d bem folgada, heim?🧐🤔😤",1,https://www.instagram.com/p/B2uThqdH9xI/,Velha barriguda d bem folgada,"Velha barriguda; bem folgada,"
38,"Esquerdista agora fala em democracia porque levou uma surra no voto, assim como vagabundo jura por Deus depois de um tapa na lateral.🤣",1,https://www.instagram.com/p/B2uThqdH9xI/,Esquerdista agora fala em democracia; levou uma surra no voto; vagabundo,Esquerdista agora fala em democracia
39,Aí a ganância falou mais alto... corrupta!,1,https://www.instagram.com/p/B2uThqdH9xI/,ganância falou mais alto; corrupta,Aí a ganância falou mais alto; corrupta;
40,Nojo 🙈🙉🙊sempre assim,1,https://www.instagram.com/p/B2uThqdH9xI/,Nojo,Nojo
41,Devolve o dinheiro roubado via OAS...,1,https://www.instagram.com/p/B2uThqdH9xI/,Devolve o dinheiro roubado,Devolve o dinheiro roubado via OAS...
42,Mais uma esquerdista ridícula💩💩,1,https://www.instagram.com/p/B2uThqdH9xI/,ridícula,Mais uma esquerdista ridícula
43,Isso não passa de uma mera oportunista! #michelebachelet #oas não passa de uma múmia esquerdista ainda em atividade minha querida @carla.zambelli . Obrigado pelas informações de sempre 🇧🇷💙,1,https://www.instagram.com/p/B2uThqdH9xI/,mera oportunista; não passa de uma múmia esquerdista ainda em atividade,uma mera oportunista; uma múmia esquerdista ainda em atividade;
44,Rapariga de cego ! Quem essa vagabunda pensa que é pra dar pitaco aqui dentro ! Vagabunda,1,https://www.instagram.com/p/B2uThqdH9xI/,Rapariga de cego; Quem essa vagabunda pensa que é pra dar pitaco aqui dentro; Vagabunda,Rapariga de cego; Quem essa vagabunda pensa que é; Vagabunda
45,Bachelet vc como todo bom esquerdista é uma hipócrita. Tenha pena de vc e do seu povo.,1,https://www.instagram.com/p/B2uThqdH9xI/,como todo bom esquerdista é uma hipócrita,vc como todo bom esquerdista é uma hipócrita
46,Q mulher ordinária,1,https://www.instagram.com/p/B2uThqdH9xI/,mulher ordinária,Q mulher ordinária
47,"Realmente, uma verdadeira hipócrita!",1,https://www.instagram.com/p/B2uThqdH9xI/,verdadeira hipócrita,uma verdadeira hipócrita
48,Simples... São canalhas que amam o dinheiro do povo. 👊🏾 🇧🇷 Acabou pra eles aí ficam nesta choradeira de 🚮. Esgoto... Lama podre. Isso eh o comunismo. Povo na merda é eles de boa. Canalhas! 👊🏾,1,https://www.instagram.com/p/B2uThqdH9xI/,canalhas que amam o dinheiro do povo; Esgoto; Lama podre; comunismo; Povo na merda é eles de boa; Canalhas,canalhas; amam o dinheiro do povo; povo na merda é eles de boa; esgoto; lama podre;
49,Pq é uma vaca.,1,https://www.instagram.com/p/B2uThqdH9xI/,vaca,Pq é uma vaca
50,Porca asquerosa🤮🤮🤮,1,https://www.instagram.com/p/B2uThqdH9xI/,Porca asquerosa,Porca asquerosa
51,Realmente a hipocrisia está estampada na cara de pau 👎👎👎👎,1,https://www.instagram.com/p/B2uThqdH9xI/,hipocrisia está estampada na cara de pau,hipocrisia está estampada; cara de pau
52,Ridícula vai cuidar da sua vida,1,https://www.instagram.com/p/B2uThqdH9xI/,Ridícula; vai cuidar da sua vida,ridícula; vai cuidar da sua vida
53,Deve ter pena dela quando descobrir os podre dela essa imoral,1,https://www.instagram.com/p/B2uThqdH9xI/,quando descobrir os podre dela; essa imoral,descobrir o podre dela; essa imoral;
54,Velha cretina,1,https://www.instagram.com/p/B2uThqdH9xI/,Velha cretina,velha cretina
55,"Da esquerda não se aproveita nada, seja ela de qualquer país!",1,https://www.instagram.com/p/B2uThqdH9xI/,Da esquerda não se aproveita nada,Da esquerda não se aproveita nada
56,Horrorosa vaca suja,1,https://www.instagram.com/p/B2uThqdH9xI/,Horrorosa; vaca; suja,horrorosa; vaca suja
57,"Pena eu não tenho de vc corrupta, qdo for presa 👊",1,https://www.instagram.com/p/B2uThqdH9xI/,Pena eu não tenho de vc corrupta,corrupta; qdo for presa
58,Hipocrisia esquerdopata oportunista,1,https://www.instagram.com/p/B2uThqdH9xI/,Hipocrisia; esquerdopata; oportunista,hipocrisia; oportunista; esquerdopata
59,E nós sentimos ranço dela! Ela pode guardar a pena dela pra ela na mesma conta que o Lula mandou o dinheiro.,1,https://www.instagram.com/p/B2uThqdH9xI/,nós sentimos ranço dela; pode guardar a pena; mandou o dinheiro,e nós sentimos ranço dela; ela pode guardar a pena dela pra ela na mesma conta que o Lula mandou o dinheiro;
60,🇧🇷💪💪💪Bandidagem safados Globolixo globonewslixo mídia lixo nojenta apátridas,1,https://www.instagram.com/p/B2uThqdH9xI/,Bandidagem; safados; Globolixo; globonewslixo; mídia lixo; nojenta; apátridas,safados; globolixo; globonewslixo; mídia lixo; nojenta; bandidagem; apátridas;
61,Falsa!!!! Que nem nota de $30!!!!🤪🤪🤪,1,https://www.instagram.com/p/B2uThqdH9xI/,Falsa; Que nem nota de $30,falsa; que nem nota de $30;
62,Esquerdista ordinária e safada,1,https://www.instagram.com/p/B2uThqdH9xI/,ordinária; safada,ordinária; safada;
63,"Enquanto a Bachelet comia toco do PT, estava caladinha.",1,https://www.instagram.com/p/B2uThqdH9xI/,"Enquanto a Bachelet comia toco do PT, estava caladinha",comia toco do PT
64,Safada sem vergonha ! Velha asquerosa !🤮,1,https://www.instagram.com/p/B2uThqdH9xI/,Safada sem vergonha; Velha asquerosa,safada; sem vergonha; velha asquerosa;
65,Quem é essa ? Vai te catar...,1,https://www.instagram.com/p/B2uThqdH9xI/,Vai te catar,vai te catar
66,Lixo ideológico,1,https://www.instagram.com/p/B2uThqdH9xI/,Lixo ideológico,Lixo ideológico
67,"Esses ""camaradas"" são ""tinhosos dimais"", quando o ""venha a nós"" acaba, começam a criticar, falar mal do ""vosso reino""! Pessoas que agem assim são imbecis para não dizer ""vampiros""!",1,https://www.instagram.com/p/B2uThqdH9xI/,"tinhosos dimais; são imbecis para não dizer ""vampiros""",imbecis ; vampiros
68,Pois é deveria ter pena da própria ignorância.,1,https://www.instagram.com/p/B2uThqdH9xI/,deveria ter pena da própria ignorância,pena da própria ignorância
69,"Vagabunda,Ordinária",1,https://www.instagram.com/p/B2uThqdH9xI/,Vagabunda; Ordinária,vagabunda; ordinária
70,"Maldita, quadrilha do PT é grande viu💩💩💩",1,https://www.instagram.com/p/B2uThqdH9xI/,Maldita; quadrilha do PT,maldita; quadrilha do PT
71,Vou mandar um óleo de peroba pra ela de presente! 😂😂😂😂,1,https://www.instagram.com/p/B2uThqdH9xI/,mandar um óleo de peroba pra ela,óleo de peroba
72,Mulherzinha cara de pau🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮,1,https://www.instagram.com/p/B2uThqdH9xI/,Mulherzinha; cara de pau,mulherzinha; cara de pau;
73,Porque é corrupta é conivente com o desgoverno anterior,1,https://www.instagram.com/p/B2uThqdH9xI/,corrupta é conivente com o desgoverno anterior,Porque é corrupta; desgoverno anterior
74,A cada dia fico mais admirado com a cara de pau da elite dominante desse mundo até quando irão nos fazer de otários,1,https://www.instagram.com/p/B2uThqdH9xI/,cara de pau da elite dominante desse mundo até quando irão nos fazer de otários,até quando irão nos fazer de otários; cara de pau
75,"Vá ter pena da puta que a pariu, corrupta",1,https://www.instagram.com/p/B2uThqdH9xI/,"puta que a pariu, corrupta",Vá ter pena da puta que a pariu; corrupta
76,Piada esse tipo de gente !,1,https://www.instagram.com/p/B2uThqdH9xI/,Piada esse tipo de gente,Piada esse tipo de gente !
77,"Comunista ladrona, padrão PT pissol PCdoB LULAPRESIDIARIO DILMATERRORISTA",1,https://www.instagram.com/p/B2uThqdH9xI/,Comunista ladrona; LULAPRESIDIARIO; DILMATERRORISTA,ladrona; LULAPRESIDIARIO; Comunista; DILMATERRORISTA;
78,"Porque Bachelet faz parte da esquerda Hipócrita da América latina. Pergunte se ela tem pena de Cuba, Nicarágua ou da Venezuela. #MicheleBacheletHipócrita",1,https://www.instagram.com/p/B2uThqdH9xI/,esquerda Hipócrita da América latina,esquerda Hipócrita da América latina;
79,"Vai te catar ,cuida do teu país,o Brasil tem quem cuide🙏🇧🇷",1,https://www.instagram.com/p/B2uThqdH9xI/,Vai te catar; cuida do teu país,Vai te catar
80,Canalha vagabunda amiga de ditaduras,1,https://www.instagram.com/p/B2uThqdH9xI/,Canalha; vagabunda; amiga de ditaduras,canalha; vagabunda; amiga de ditaduras;
81,Essa gentalha tirando uma de vítima. Vão derrubar Já já. Coitados. Deus é Deus!,1,https://www.instagram.com/p/B2uThqdH9xI/,gentalha tirando uma de vítima; Vão derrubar Já já,essa gentalha tirando uma de vítima; coitados;
82,Sua TONTA SAFADA,1,https://www.instagram.com/p/B2uThqdH9xI/,TONTA; SAFADA,tonta; safada;
83,Mentirosa enganadora 👎👎👎,1,https://www.instagram.com/p/B2uThqdH9xI/,Mentirosa enganadora,mentirosa; enganadora;
84,Cachorra safada o Brasil tá sob nova direção,1,https://www.instagram.com/p/B2uThqdH9xI/,Cachorra safada,cachorra; safada;
85,"A mim ela eh similar aquelas moças que ficam na rodovia que trocam ""serviços"" por $. Sem tirar nem por...",1,https://www.instagram.com/p/B2uThqdH9xI/,"similar aquelas moças que ficam na rodovia que trocam ""serviços"" por $","similar aquelas moças que ficam na rodovia que trocam ""serviços"" por $"
86,#foracomunismosocialismo🤬😠😡👊👊👊,1,https://www.instagram.com/p/B2uThqdH9xI/,#foracomunismosocialismo,#foracomunismosocialismo
87,Aff ranso desses corruptos,1,https://www.instagram.com/p/B2uThqdH9xI/,ranso; corruptos,Aff; ranso; corruptos;
88,Bandida como todos esquerdopatas,1,https://www.instagram.com/p/B2uThqdH9xI/,Bandida como todos esquerdopatas,bandida; esquerdopatas;
89,Senhora Michele Bachelet! Com todo o respeito. Vai a merda.,1,https://www.instagram.com/p/B2uThqdH9xI/,Vai a merda,Vai a merda
90,"Velha cretina, vai cuidar do seu país..ah não te querem lá. Então vai pro inferno coisa ruim.",1,https://www.instagram.com/p/B2uThqdH9xI/,Velha cretina; vai cuidar do seu país; ah não te querem lá; vai pro inferno coisa ruim.,vai cuidar do seu país..ah não te querem lá; Então vai pro inferno coisa ruim; velha cretina;
91,Toma distraída!!!,1,https://www.instagram.com/p/B2uThqdH9xI/,Toma distraída,Toma distraída
92,Velha idiota comunista e corrupta .,1,https://www.instagram.com/p/B2uThqdH9xI/,Velha idiota; comunista; corrupta,velha idiota; comunista; corrupta;
93,Demagoga se locupletando com dinheiro de propina,1,https://www.instagram.com/p/B2uThqdH9xI/,locupletando com dinheiro de propina,demagoga; locupletando com dinheiro de propina
94,Porque é bandida igualmente a o presidiário cachaceiro do Lula,1,https://www.instagram.com/p/B2uThqdH9xI/,bandida igualmente a o presidiário cachaceiro do Lula,porque é bandida; presidiário cachaceiro;
95,Eu tenho pena é de você não ter sido da época do grande General Pinochet que lamentavelmente deixou sobrar este resquício de desgraça.,1,https://www.instagram.com/p/B2uThqdH9xI/,este resquício de desgraça,este resquício de desgraça;
96,Cai fora o Brasil não precisa de você,1,https://www.instagram.com/p/B2uThqdH9xI/,o Brasil não precisa de você,cai fora
97,tá se revelando! corrupta ...nesse governo a gente tá realmente vendo quem é honesto e quem no presta!,1,https://www.instagram.com/p/B2uThqdH9xI/,corrupta; quem no presta,corrupta;
98,Falou...Bacheria. . ...Brcelet.... ou seja lá como queira ser chamada sua raposa velhaca.,1,https://www.instagram.com/p/B2uThqdH9xI/,Bacheria; raposa velhaca,raposa velhaca
99,Bandidona e pilantrona o leitinho acabou,1,https://www.instagram.com/p/B2uThqdH9xI/,Bandidona; pilantrona; o leitinho acabou,Bandidona; pilantrona; o leitinho acabou;
100,Hipooooooócrita essa senhoura...,1,https://www.instagram.com/p/B2uThqdH9xI/,Hipooooooócrita,hipócrita
101,Exato! Ela é um escrota!,1,https://www.instagram.com/p/B2uThqdH9xI/,escrota,Ela é um escrota;
102,Outra pilantra!,1,https://www.instagram.com/p/B2uThqdH9xI/,pilantra,outra pilantra
103,Farinha do mesmo saco nojo desses políticos,1,https://www.instagram.com/p/B2uThqdH9xI/,Farinha do mesmo saco; nojo,farinha do mesmo saco; nojo desses políticos;
104,Essa senhora é uma currupta igual seus amiguinhos do PT.,1,https://www.instagram.com/p/B2uThqdH9xI/,currupta igual seus amiguinhos do PT,Essa senhora é uma currupta; amiguinhos do PT;
105,"Cada coisa que aparece!!! Internacionarizaram a propina e a corrupção!!! Agora tem pena do Brasil, tem que ter pena dela mesmo, afinal ficou sem os recursos ilícitos!!!",1,https://www.instagram.com/p/B2uThqdH9xI/,Internacionarizaram a propina e a corrupção; ficou sem os recursos ilícitos,internacionarizaram a propina e a corrupção; ficou sem os recursos ilícitos;
106,Devolva o dinheiro,1,https://www.instagram.com/p/B2uThqdH9xI/,Devolva o dinheiro,devolva o dinheiro
107,Pq. ELa é SAFADA igual ao 9 dedos. 😲😲,1,https://www.instagram.com/p/B2uThqdH9xI/,SAFADA; 9 dedos,ela é SAFADA; 9 dedos;
108,Terrorista FDP,1,https://www.instagram.com/p/B2uThqdH9xI/,Terrorista; FDP,terrorist; FDP
109,Sem noção sobre o Brasil e uma corrupta 👎👎👿👿👿,1,https://www.instagram.com/p/B2uThqdH9xI/,Sem noção sobre o Brasil; corrupta,corrupta
110,Pena dessa senhorinha...,1,https://www.instagram.com/p/B2uThqdH9xI/,Pena dessa senhorinha,pena dessa senhorinha
111,"Houve um tempo atrás que o Brasil recebeu milhares de chilenos, que veio arrumar emprego aqui no Brasil e os brasileiros os receberam de braços abertos, mas, o mundo e o povo é assim esquece rápido o bem que o outro fez! Mas, essa comunista está se achando, mas, é uma tremenda corrupta.",1,https://www.instagram.com/p/B2uThqdH9xI/,essa comunista está se achando; é uma tremenda corrupta,comunista; tremenda corrupta;
112,"VOCÊ TINHA DE TER PENA É QUANDO VÁRIOS BRASILEIROS MORRERAM NOS CORREDORES DOS HOSPITAIS PÚBLICOS POR CAUSA DAS ROUBALHEIRAS DOS CURRUPTOS, MAS VOCÊ VELHA CANALHA TAMBÉM FAZIA PARTE DO ESQUEMA SEGUNDO Á OAS 🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀.",1,https://www.instagram.com/p/B2uThqdH9xI/,ROUBALHEIRAS DOS CURRUPTOS; VOCÊ VELHA CANALHA TAMBÉM FAZIA PARTE DO ESQUEMA SEGUNDO Á OAS,ROUBALHEIRAS DOS CURRUPTOS; VELHA CANALHA; FAZIA PARTE DO ESQUEMA;
113,"Pois é, nojenta!!",1,https://www.instagram.com/p/B2uThqdH9xI/,nojenta,nojenta
114,Quem quer saber oq vc pensa comunista corrupta vc deveria estar na cadeia !,1,https://www.instagram.com/p/B2uThqdH9xI/,comunista; corrupta vc deveria estar na cadeia,comunista; corrupta; vc deveria estar na cadeia;
115,"Enfia a sua pena no seu rabo, velha nojenta",1,https://www.instagram.com/p/B2uThqdH9xI/,"Enfia a sua pena no seu rabo, velha nojenta",Enfia a sua pena no seu rabo; velha nojenta
116,A única coisa que no momento a esquerda faz é rosnar!!,1,https://www.instagram.com/p/B2uThqdH9xI/,a esquerda faz é rosnar,a única coisa que no momento a esquerda faz é rosnar
117,OQUE BACHELE FALA NÃO TEM VALOR!!! KKKK A PESSOA QUE SE ENVOLVE COM MARACUTAIA PARA ROUBAR UM POVO PERDE SEU VALOR E PRONTO ACABOU!!!,1,https://www.instagram.com/p/B2uThqdH9xI/,NÃO TEM VALOR; SE ENVOLVE COM MARACUTAIA PARA ROUBAR; PERDE SEU VALOR,ENVOLVE COM MARACUTAIA PARA ROUBAR UM POVO
118,"Ela que cuidado quintal da própria casa, já que está sujos com dinheiro de propina!!",1,https://www.instagram.com/p/B2uThqdH9xI/,está sujos com dinheiro de propina,Ela que cuida do quintal da própria casa; está sujos com dinheiro de propina
119,"A resposta para um senhora desse , já que o dinheiro não vai ser devolvido. É um grande VA SE LASCAR, esquece o BRASIL e vá cuidar dos seus problemas",1,https://www.instagram.com/p/B2uThqdH9xI/,VA SE LASCAR; vá cuidar dos seus problemas,o dinheiro não vai ser devolvido; vá cuidar dos seus problemas; vai se lascar;
120,"JA DIZIA O SANTO JOÃO BATISTA:""HIPOCRITAS!!!!! RAÇA DE VIBORAS!!!ENDIREITAI OS CAMINHOS.O Messias vem",1,https://www.instagram.com/p/B2uThqdH9xI/,HIPOCRITAS; RAÇA DE VIBORAS,HIPOCRITAS; RAÇA DE VIBORAS;
121,Nossa mostre sua compaixão devolvendo o dinheiro que recebeu do MOLUSCO,1,https://www.instagram.com/p/B2uThqdH9xI/,mostre sua compaixão devolvendo o dinheiro que recebeu do MOLUSCO,MOLUSCO;
122,"Essa safada... Dinheiro ela gosta né? Não tem ""pena"" de roubar do Brasil!",1,https://www.instagram.com/p/B2uThqdH9xI/,"safada; Dinheiro ela gosta né?; Não tem ""pena"" de roubar do Brasil",safada;
123,"Ah tá com pena?!Diz para ela vim doar alimento e roupas para os asilos,orfanatos e desabrigados ,hospitais que por conta das propinas que receberam esses lugares estão com deficiência de tudo,isso PR não mandar ele para Vênus!!",1,https://www.instagram.com/p/B2uThqdH9xI/,propinas; mandar ele para Vênus,propinas; mandar ele para Vênus;
124,"Sim, ela tem penas.......com certeza",1,https://www.instagram.com/p/B2uThqdH9xI/,ela tem penas,ela tem penas;
125,OH BACHELET RECEBEU PROPINA DA OAS ENTÃO NÓS BRASILEIROS PATRIOTAS ESTAMOS ENTENDENDO A SUA TRISTESA ACABOU A SUA MAMATA CANALHAS,1,https://www.instagram.com/p/B2uThqdH9xI/,RECEBEU PROPINA DA OAS; ACABOU A SUA MAMATA CANALHAS,PROPINA; ACABOU A SUA MAMATA; CANALHAS;
126,"PORQUE É PORCA DO MESMO LODO,",1,https://www.instagram.com/p/B2uThqdH9xI/,É PORCA DO MESMO LODO,PORCA DO MESMO LODO;
127,Essa Brochelet tem cara de corrupta da quadrilha lulaladrão.,1,https://www.instagram.com/p/B2uThqdH9xI/,corrupta da quadrilha lulaladrão,tem cara de corrupta; quadrilha lulaladrão
128,Secou a fonte pilantra. Devia estar na cadeia. Esquerdista cara de pau,1,https://www.instagram.com/p/B2uThqdH9xI/,Secou a fonte pilantra; Devia estar na cadeia; cara de pau,Secou a fonte pilantra; Devia estar na cadeia; Esquerdista cara de pau;
129,ACABOU A MAMATAAA!!!✨🇧🇷✨,1,https://www.instagram.com/p/B2uThqdH9xI/,ACABOU A MAMATAAA,acabou a mamata
130,Velha ridícula e bandida!! Parece uma porca,1,https://www.instagram.com/p/B2uThqdH9xI/,Velha ridícula e bandida; Parece uma porca,bandida; parece uma porca; velha rídicula;
131,CLARO QUE TEM PENA PORQUE ELA JUNTO COM O LULADRÃO SUGARAM O POVO DEVERIA TER VERGONHA NA CARA E DEVOLVER O DINHEIRO QUE LEVOU,1,https://www.instagram.com/p/B2uThqdH9xI/,JUNTO COM O LULADRÃO SUGARAM O POVO; DEVERIA TER VERGONHA NA CARA E DEVOLVER O DINHEIRO QUE LEVOU,ELA JUNTO COM O LULADRÃO SUGARAM O POVO; DEVERIA TER VERGONHA NA CARA; DEVOLVER O DINHEIRO QUE LEVOU
132,"Esquerdopatas mentem para ver se vira verdade, isso é o lema deles.",1,https://www.instagram.com/p/B2uThqdH9xI/,Esquerdopatas mentem para ver se vira verdade,Esquerdopatas; mentem para ver se vira verdade
133,SÓ SENTE PENA SE FOR REMUNERADA PRA ISSO...NÃO PRECISAMOS QUE ESSA GENTE SINTAM PENA DO NOSSO PAÍS...E SIM QUE SE AFASTEM DELE E DO NOSSO DINHEIRO...,1,https://www.instagram.com/p/B2uThqdH9xI/,SÓ SENTE PENA SE FOR REMUNERADA PRA ISSO; SE AFASTEM DELE E DO NOSSO DINHEIRO,NÃO PRECISAMOS QUE ESSA GENTE SINTAM PENA DO NOSSO PAÍS
134,Sim porque??? É muita hipocrisia. E a propina...,1,https://www.instagram.com/p/B2uThqdH9xI/,muita hipocrisia; propina,é muita hipocrisia; e a proprina;
135,Ta com pena? Devolve a propina,1,https://www.instagram.com/p/B2uThqdH9xI/,Devolve a propina,devolve a propina
136,Comunista hipócrita nojento lixos,1,https://www.instagram.com/p/B2uThqdH9xI/,Comunista; hipócrita; nojento; lixos,comunista; hipócrita; nojento lixos;
137,POIS É DEVERIA DEVOLVER O DINHEIRO AOS COFRES PÚBLICOS DO Brasil.,1,https://www.instagram.com/p/B2uThqdH9xI/,DEVERIA DEVOLVER O DINHEIRO AOS COFRES PÚBLICOS DO Brasil,deveria devolver o dinheiro aos cofres públicos do Brasil
138,Outra canalha.,1,https://www.instagram.com/p/B2uThqdH9xI/,canalha,Outra canalha
139,Porque ela não era “paga” pra sentir pena e sim para contribuir e usufruir dos roubos.,1,https://www.instagram.com/p/B2uThqdH9xI/,contribuir e usufruir dos roubos,contribuir e usufruir dos roubos
140,essa imbecil falando e o cachorro cagando e a mesma coisa,1,https://www.instagram.com/p/B2uThqdH9xI/,essa imbecil falando e o cachorro cagando e a mesma coisa,essa imbecil falando e o cachorro cagando e a mesma coisa
141,Pois ela é uma sem vergonha😩,1,https://www.instagram.com/p/B2uThqdH9xI/,sem vergonha,sem vergonha
142,Esse povo de esquerda é asqueroso e corruptos,1,https://www.instagram.com/p/B2uThqdH9xI/,povo de esquerda; asqueroso; corruptos,esse povo de esquerda; asqueroso; corruptos;
